"left_categ","centleft_categ","centright_categ","right_categ","character","switch_cond","trial_cond","trialN","opt_choice","corr_ans","obj_category","opt_choice_cat","cuedCharacter","V1","P1","V2","P2","V3","P3","V4","P4","Prob","Delta","response","respCat","accuracy","task_resp.keys","participant"
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m5.png",2,1,33,4,4,"Hand labour tool & accessory","Hand labour tool & accessory","stimuli/m5.png",0.499702734839477,0.319188031974965,0.485425377681182,0.313272089972172,0.085909631391201,0.200944905969037,0.00348616065016334,0.166594972083827,NA,-0.146551724137931,2,"Kitchen & utensil",0,2,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m5.png",2,1,34,4,4,"Hand labour tool & accessory","Hand labour tool & accessory","stimuli/m5.png",0.499702734839477,0.324163805329421,0.485425377681182,0.318155640612631,0.085909631391201,0.188488558464337,0.00204361141561299,0.169191995593612,NA,-0.00348616065016334,1,"Outdoor activity & sport item",0,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,1,35,1,1,"Outdoor activity & sport item","Outdoor activity & sport item","stimuli/m2.png",0.171717111020938,0.21235154075297,0.085909631391201,0.189768655064912,0.0295218590630881,0.176252618716256,0.821295179076637,0.421627185465862,NA,0.304849400398677,1,"Outdoor activity & sport item",1,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m5.png",2,1,36,4,4,"Hand labour tool & accessory","Hand labour tool & accessory","stimuli/m5.png",0.499702734839477,0.324267412298022,0.69835280760621,0.31825732729364,0.085909631391201,0.188548801859304,0.00204361141561299,0.168926458549033,NA,0.514574622318818,4,"Hand labour tool & accessory",1,4,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,1,37,1,1,"Outdoor activity & sport item","Outdoor activity & sport item","stimuli/m2.png",0.100661754736412,0.197392599673006,0.085909631391201,0.17640054801057,0.0295218590630881,0.163836638454389,0.821295179076637,0.462370213862036,NA,-0.171717111020938,3,"Electronic device & accessory",0,3,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,1,38,1,1,"Outdoor activity & sport item","Outdoor activity & sport item","stimuli/m2.png",0.100661754736412,0.183056055719986,0.085909631391201,0.179551496044266,0.0295218590630881,0.166763164134764,0.895242001527684,0.470629284100984,NA,0.178704820923363,1,"Outdoor activity & sport item",1,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,1,39,1,1,"Outdoor activity & sport item","Outdoor activity & sport item","stimuli/m2.png",0.0590086148454828,0.174691067983266,0.085909631391201,0.17134665378099,0.0295218590630881,0.159142701553303,0.895242001527684,0.494819576682441,NA,-0.100661754736412,3,"Electronic device & accessory",0,3,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m5.png",2,1,40,4,4,"Hand labour tool & accessory","Hand labour tool & accessory","stimuli/m5.png",0.499702734839477,0.294141162490757,0.823172335493296,0.381595021071355,0.085909631391201,0.171031567347767,0.00204361141561299,0.153232249090121,NA,0.30164719239379,4,"Hand labour tool & accessory",1,4,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,1,41,1,1,"Outdoor activity & sport item","Outdoor activity & sport item","stimuli/m2.png",0.0590086148454828,0.166961214188028,0.085909631391201,0.172951488686622,0.0173059173818103,0.160633234089502,0.895242001527684,0.499454063035848,NA,-0.0295218590630881,2,"Kitchen & utensil",0,2,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,1,42,1,1,"Outdoor activity & sport item","Outdoor activity & sport item","stimuli/m2.png",0.0590086148454828,0.167388188258091,0.0503608184017385,0.173393781834807,0.0173059173818103,0.158486700560385,0.895242001527684,0.500731329346717,NA,-0.085909631391201,4,"Hand labour tool & accessory",0,4,1
